"Specimen thickness",1.5,"mm"
"Specimen width",4.89,"mm"
"Cross-section",7.335,"mm²"
"Gage length, standard travel",30,"mm"
"Extensometer",""
"Load cell",""
"Date/Clock time",44182.5,""
"Operator",""
"v1",1,"mm/min"
"v2",1,"mm/min"
"Time","Crosshead absolute","Standard travel","Standard force","Capteur de course"
"s","mm","mm","N","mm"
5.37805,1190.6,0.0425217,936.454,4.9739
5.38805,1190.6,0.042684,939.756,4.97389
5.39805,1190.6,0.0428486,943.092,4.97389
5.40805,1190.6,0.0430136,946.421,4.9739
5.41805,1190.6,0.0431778,949.754,4.97392
5.42805,1190.6,0.0433456,953.078,4.97394
5.43805,1190.6,0.0435148,956.405,4.97398
5.44805,1190.6,0.0436801,959.755,4.97405
5.45805,1190.6,0.0438467,963.093,4.97414
5.46805,1190.6,0.0440144,966.415,4.97424
5.47805,1190.6,0.0441799,969.768,4.97434
5.48805,1190.6,0.0443488,973.115,4.97445
5.49805,1190.6,0.0445159,976.466,4.97455
5.50805,1190.6,0.0446792,979.793,4.97466
5.51805,1190.6,0.044848,983.113,4.97475
5.52805,1190.6,0.045019,986.471,4.97485
5.53805,1190.6,0.045188,989.856,4.97493
5.54805,1190.6,0.0453488,993.184,4.97498
5.55805,1190.6,0.045512,996.519,4.97501
5.56805,1190.6,0.0456826,999.857,4.975
5.57805,1190.6,0.0458502,1003.18,4.97496
5.58805,1190.6,0.0460172,1006.51,4.9749
5.59805,1190.6,0.0461819,1009.82,4.97482
5.60805,1190.6,0.0463473,1013.13,4.97472
5.61805,1190.6,0.0465191,1016.44,4.97461
5.62805,1190.6,0.0466883,1019.72,4.97449
5.63805,1190.6,0.0468523,1022.94,4.97436
5.64805,1190.6,0.0470119,1026.24,4.97423
5.65805,1190.6,0.047176,1029.52,4.97411
5.66805,1190.6,0.047344,1032.8,4.97399
5.67805,1190.6,0.0475175,1036.08,4.97388
5.68805,1190.6,0.0476889,1039.34,4.97377
5.69805,1190.6,0.0478552,1042.62,4.97367
5.70805,1190.6,0.0480209,1045.9,4.9736
5.71805,1190.6,0.0481877,1049.15,4.97355
5.72805,1190.6,0.0483582,1052.42,4.97351
5.73805,1190.6,0.0485205,1055.73,4.97351
5.74805,1190.6,0.0486832,1059.01,4.97353
5.75805,1190.6,0.0488475,1062.28,4.97357
5.76805,1190.6,0.0490147,1065.52,4.97363
5.77805,1190.6,0.0491797,1068.76,4.97373
5.78805,1190.6,0.0493499,1072.01,4.97386
5.79805,1190.6,0.04952,1075.24,4.974
5.80805,1190.6,0.0496797,1078.49,4.97416
5.81805,1190.6,0.0498444,1081.78,4.97432
5.82805,1190.6,0.0500188,1085.06,4.97447
5.83805,1190.61,0.0501859,1088.33,4.97463
5.84805,1190.61,0.0503481,1091.57,4.97477
5.85805,1190.61,0.0505129,1094.82,4.97489
5.86805,1190.61,0.0506833,1098.09,4.97502
5.87805,1190.61,0.0508547,1101.37,4.97513
5.88805,1190.61,0.0510195,1104.66,4.97523
5.89805,1190.61,0.0511827,1107.95,4.97532
5.90805,1190.61,0.0513491,1111.24,4.97541
5.91805,1190.61,0.0515152,1114.52,4.97549
5.92805,1190.61,0.0516852,1117.76,4.97555
5.93805,1190.61,0.0518539,1120.99,4.97562
5.94805,1190.61,0.0520226,1124.26,4.97568
5.95805,1190.61,0.0521863,1127.56,4.97573
5.96805,1190.61,0.052349,1130.84,4.97576
5.97805,1190.61,0.0525121,1134.1,4.97578
5.98805,1190.61,0.0526737,1137.36,4.97579
5.99805,1190.61,0.0528513,1140.59,4.97579
6.00805,1190.61,0.0530206,1143.81,4.97578
6.01805,1190.61,0.0531824,1147.05,4.97577
6.02805,1190.61,0.0533485,1150.27,4.97575
6.03805,1190.61,0.0535167,1153.53,4.97572
6.04805,1190.61,0.0536817,1156.78,4.97569
6.05805,1190.61,0.0538435,1160.01,4.97566
6.06805,1190.61,0.054009,1163.26,4.97564
6.07805,1190.61,0.0541795,1166.49,4.97562
6.08805,1190.61,0.0543547,1169.74,4.9756
6.09805,1190.61,0.0545221,1173.02,4.9756
6.10805,1190.61,0.0546822,1176.33,4.97559
6.11805,1190.61,0.0548474,1179.63,4.97558
6.12805,1190.61,0.0550133,1182.96,4.97556
6.13805,1190.61,0.0551814,1186.25,4.97555
6.14805,1190.61,0.0553531,1189.53,4.97553
6.15805,1190.61,0.0555223,1192.83,4.9755
6.16805,1190.61,0.0556912,1196.13,4.97548
6.17805,1190.61,0.0558552,1199.44,4.97544
6.18805,1190.61,0.0560189,1202.75,4.9754
6.19805,1190.61,0.0561853,1206.06,4.97535
6.20805,1190.61,0.0563493,1209.34,4.97529
6.21805,1190.61,0.0565094,1212.63,4.97523
6.22805,1190.61,0.0566737,1215.97,4.97515
6.23805,1190.61,0.0568483,1219.3,4.97507
6.24805,1190.61,0.0570153,1222.67,4.97497
6.25805,1190.61,0.0571805,1226.01,4.97487
6.26805,1190.61,0.0573507,1229.34,4.97475
6.27805,1190.61,0.0575178,1232.7,4.97463
6.28805,1190.61,0.0576829,1236.07,4.9745
6.29805,1190.61,0.0578535,1239.43,4.97437
6.30805,1190.61,0.0580153,1242.78,4.97425
6.31805,1190.61,0.0581828,1246.12,4.97412
6.32805,1190.61,0.0583525,1249.41,4.974
6.33805,1190.61,0.0585168,1252.72,4.97387
6.34805,1190.61,0.0586818,1256.02,4.97376
6.35805,1190.61,0.0588495,1259.32,4.97365
6.36805,1190.61,0.0590154,1262.62,4.97356
6.37805,1190.61,0.0591833,1265.9,4.97349
6.38805,1190.61,0.0593481,1269.16,4.97343
6.39805,1190.61,0.0595166,1272.43,4.9734
6.40805,1190.61,0.0596816,1275.69,4.97337
6.41805,1190.61,0.0598444,1278.96,4.97335
6.42805,1190.61,0.0600157,1282.27,4.97334
6.43805,1190.62,0.0601821,1285.55,4.97333
6.44805,1190.62,0.0603433,1288.82,4.97334
6.45805,1190.62,0.0605108,1292.09,4.97334
6.46805,1190.62,0.0606843,1295.34,4.97335
6.47805,1190.62,0.0608505,1298.59,4.97335
6.48805,1190.62,0.061019,1301.83,4.97334
6.49805,1190.62,0.0611827,1305.11,4.97332
6.50805,1190.62,0.0613474,1308.39,4.97331
6.51805,1190.62,0.0615148,1311.66,4.97328
6.52805,1190.62,0.0616794,1314.87,4.97325
6.53805,1190.62,0.0618483,1318.08,4.97323
6.54805,1190.62,0.0620211,1321.34,4.97319
6.55805,1190.62,0.0621879,1324.59,4.97315
6.56805,1190.62,0.0623505,1327.85,4.9731
6.57805,1190.62,0.0625133,1331.12,4.97305
6.58805,1190.62,0.0626813,1334.39,4.973
6.59805,1190.62,0.0628489,1337.62,4.97295
6.60805,1190.62,0.0630124,1340.86,4.97292
6.61805,1190.62,0.0631797,1344.1,4.97291
6.62805,1190.62,0.063347,1347.36,4.97292
6.63805,1190.62,0.0635157,1350.66,4.97296
6.64805,1190.62,0.0636808,1353.91,4.97301
6.65805,1190.62,0.063847,1357.17,4.97309
6.66805,1190.62,0.0640143,1360.44,4.97318
6.67805,1190.62,0.0641847,1363.7,4.97328
6.68805,1190.62,0.0643528,1366.96,4.97338
6.69805,1190.62,0.0645157,1370.24,4.97349
6.70805,1190.62,0.0646809,1373.52,4.9736
6.71805,1190.62,0.0648482,1376.8,4.97372
6.72805,1190.62,0.0650206,1380.06,4.97383
6.73805,1190.62,0.0651858,1383.31,4.97393
6.74805,1190.62,0.0653508,1386.59,4.97404
6.75805,1190.62,0.0655181,1389.85,4.97415
6.76805,1190.62,0.0656804,1393.13,4.97425
6.77805,1190.62,0.0658428,1396.4,4.97437
6.78805,1190.62,0.0660139,1399.67,4.9745
6.79805,1190.62,0.0661828,1402.94,4.97463
6.80805,1190.62,0.0663504,1406.2,4.97475
6.81805,1190.62,0.0665152,1409.46,4.97486
6.82805,1190.62,0.0666787,1412.74,4.97497
6.83805,1190.62,0.0668441,1416.02,4.97508
6.84805,1190.62,0.0670094,1419.32,4.97518
6.85805,1190.62,0.0671812,1422.59,4.97529
6.86805,1190.62,0.0673472,1425.85,4.9754
6.87805,1190.62,0.0675138,1429.15,4.97552
6.88805,1190.62,0.0676872,1432.44,4.97565
6.89805,1190.62,0.0678561,1435.72,4.97579
6.90805,1190.62,0.0680156,1439.02,4.97596
6.91805,1190.62,0.0681802,1442.33,4.97614
6.92805,1190.62,0.0683493,1445.62,4.97637
6.93805,1190.62,0.068515,1448.92,4.97661
6.94805,1190.62,0.0686877,1452.19,4.97688
6.95805,1190.62,0.0688561,1455.47,4.97716
6.96805,1190.62,0.069023,1458.73,4.97745
6.97805,1190.62,0.0691848,1461.99,4.97774
6.98805,1190.62,0.0693518,1465.28,4.97804
6.99805,1190.62,0.0695174,1468.57,4.97832
7.00805,1190.62,0.069676,1471.83,4.97858
7.01805,1190.62,0.069843,1475.08,4.97883
7.02805,1190.62,0.0700163,1478.37,4.97903
7.03805,1190.63,0.0701824,1481.67,4.9792
7.04805,1190.63,0.0703445,1484.98,4.97934
7.05805,1190.63,0.0705086,1488.3,4.97944
7.06805,1190.63,0.0706769,1491.65,4.97951
7.07805,1190.63,0.070851,1494.97,4.97955
7.08805,1190.63,0.0710187,1498.26,4.97955
7.09805,1190.63,0.0711852,1501.57,4.97952
7.10805,1190.63,0.0713482,1504.92,4.97945
7.11805,1190.63,0.0715147,1508.26,4.97936
7.12805,1190.63,0.0716825,1511.57,4.97926
7.13805,1190.63,0.0718489,1514.85,4.97914
7.14805,1190.63,0.0720209,1518.11,4.979
7.15805,1190.63,0.0721887,1521.37,4.97885
7.16805,1190.63,0.0723512,1524.62,4.97871
7.17805,1190.63,0.0725122,1527.88,4.97856
7.18805,1190.63,0.0726834,1531.16,4.9784
7.19805,1190.63,0.0728507,1534.42,4.97825
7.20805,1190.63,0.0730092,1537.63,4.97809
7.21805,1190.63,0.0731756,1540.84,4.97794
7.22805,1190.63,0.0733518,1544.08,4.97779
7.23805,1190.63,0.0735199,1547.31,4.97764
7.24805,1190.63,0.0736816,1550.54,4.97749
7.25805,1190.63,0.0738437,1553.76,4.97734
7.26805,1190.63,0.0740157,1556.99,4.97721
7.27805,1190.63,0.0741811,1560.22,4.97708
7.28805,1190.63,0.0743458,1563.43,4.97695
7.29805,1190.63,0.0745151,1566.63,4.97685
7.30805,1190.63,0.0746834,1569.85,4.97678
7.31805,1190.63,0.0748517,1573.08,4.97673
7.32805,1190.63,0.0750185,1576.3,4.97669
7.33805,1190.63,0.0751825,1579.53,4.97668
7.34805,1190.63,0.0753501,1582.73,4.97668
7.35805,1190.63,0.0755202,1585.95,4.9767
7.36805,1190.63,0.0756885,1589.17,4.97673
7.37805,1190.63,0.0758528,1592.37,4.97677
7.38805,1190.63,0.0760141,1595.57,4.97682
7.39805,1190.63,0.0761789,1598.79,4.97687
7.40805,1190.63,0.0763497,1601.98,4.97691
7.41805,1190.63,0.0765156,1605.2,4.97694
7.42805,1190.63,0.0766818,1608.39,4.97697
7.43805,1190.63,0.0768484,1611.63,4.977
7.44805,1190.63,0.0770132,1614.88,4.97703
7.45805,1190.63,0.0771769,1618.09,4.97706
7.46805,1190.63,0.0773401,1621.34,4.97708
7.47805,1190.63,0.0775179,1624.59,4.9771
7.48805,1190.63,0.0776859,1627.82,4.97712
7.49805,1190.63,0.0778477,1631.06,4.97713
7.50805,1190.63,0.0780205,1634.3,4.97715
7.51805,1190.63,0.0781883,1637.56,4.97717
7.52805,1190.63,0.0783511,1640.84,4.97718
7.53805,1190.63,0.078512,1644.07,4.97718
7.54805,1190.63,0.0786751,1647.28,4.97718
7.55805,1190.63,0.0788449,1650.54,4.97716
7.56805,1190.63,0.0790208,1653.77,4.97713
7.57805,1190.63,0.0791813,1657.01,4.97709
7.58805,1190.63,0.0793433,1660.24,4.97705
7.59805,1190.63,0.0795105,1663.47,4.977
7.60805,1190.63,0.0796863,1666.76,4.97694
7.61805,1190.63,0.0798535,1670,4.97686
7.62805,1190.63,0.0800115,1673.24,4.97677
7.63805,1190.64,0.080172,1676.51,4.97668
7.64805,1190.64,0.0803431,1679.79,4.97658
7.65805,1190.64,0.0805162,1683.04,4.97649
7.66805,1190.64,0.0806851,1686.29,4.9764
7.67805,1190.64,0.0808498,1689.59,4.97632
7.68805,1190.64,0.0810197,1692.9,4.97625
7.69805,1190.64,0.0811848,1696.19,4.97619
7.70805,1190.64,0.081348,1699.47,4.97614
7.71805,1190.64,0.0815175,1702.76,4.97612
7.72805,1190.64,0.0816851,1706.01,4.9761
7.73805,1190.64,0.0818511,1709.24,4.97611
7.74805,1190.64,0.0820186,1712.53,4.97612
7.75805,1190.64,0.082187,1715.83,4.97615
7.76805,1190.64,0.0823495,1719.13,4.97618
7.77805,1190.64,0.0825146,1722.4,4.97621
7.78805,1190.64,0.0826851,1725.66,4.97623
7.79805,1190.64,0.0828512,1728.95,4.97625
7.80805,1190.64,0.0830171,1732.23,4.97626
7.81805,1190.64,0.083183,1735.5,4.97627
7.82805,1190.64,0.0833443,1738.82,4.97627
7.83805,1190.64,0.0835045,1742.13,4.97624
7.84805,1190.64,0.0836741,1745.39,4.97619
7.85805,1190.64,0.083849,1748.65,4.97611
7.86805,1190.64,0.0840158,1751.9,4.97602
7.87805,1190.64,0.0841845,1755.15,4.9759
7.88805,1190.64,0.0843504,1758.41,4.97575
7.89805,1190.64,0.0845148,1761.66,4.97557
7.90805,1190.64,0.0846804,1764.91,4.97536
7.91805,1190.64,0.0848473,1768.16,4.97512
7.92805,1190.64,0.0850125,1771.35,4.97486
7.93805,1190.64,0.0851804,1774.55,4.97458
7.94805,1190.64,0.0853518,1777.73,4.97428
