"Specimen thickness",1.06,"mm"
"Specimen width",6.02,"mm"
"Cross-section",6.3812,"mm²"
"Gage length, standard travel",20,"mm"
"Extensometer",""
"Load cell",""
"Date/Clock time",43447.4,""
"Operator",""
"v1",1,"mm/min"
"v2",1,"mm/min"
"Time","Crosshead absolute","Standard force","Standard travel"
"s","mm","N","mm"
14.5341,-755.296,1380.4,0.0196
14.5441,-755.296,1383.63,0.0196
14.5541,-755.295,1386.85,0.0198
14.5641,-755.295,1390.1,0.0198
14.5741,-755.295,1393.34,0.0198
14.5841,-755.295,1396.57,0.0198
14.5941,-755.295,1399.8,0.0198
14.6041,-755.295,1403.04,0.0198
14.6141,-755.294,1406.28,0.02
14.6241,-755.294,1409.5,0.02
14.6341,-755.294,1412.73,0.02
14.6441,-755.294,1415.95,0.0202
14.6541,-755.294,1419.18,0.0202
14.6641,-755.294,1422.39,0.0202
14.6741,-755.293,1425.58,0.0202
14.6841,-755.293,1428.8,0.0204
14.6941,-755.293,1431.99,0.0204
14.7041,-755.293,1435.22,0.0204
14.7141,-755.293,1438.45,0.0206
14.7241,-755.293,1441.68,0.0206
14.7341,-755.292,1444.89,0.0206
14.7441,-755.292,1448.12,0.0206
14.7541,-755.292,1451.36,0.0206
14.7641,-755.292,1454.61,0.0208
14.7741,-755.292,1457.86,0.0208
14.7841,-755.292,1461.11,0.0208
14.7941,-755.291,1464.38,0.0208
14.8041,-755.291,1467.62,0.021
14.8141,-755.291,1470.85,0.021
14.8241,-755.291,1474.1,0.021
14.8341,-755.291,1477.32,0.021
14.8441,-755.291,1480.53,0.0212
14.8541,-755.29,1483.72,0.0212
14.8641,-755.29,1486.92,0.0212
14.8741,-755.29,1490.14,0.02139
14.8841,-755.29,1493.36,0.0214
14.8941,-755.29,1496.55,0.0214
14.9041,-755.29,1499.72,0.0214
14.9141,-755.289,1502.88,0.02141
14.9241,-755.289,1506,0.0216
14.9341,-755.289,1509.17,0.0216
14.9441,-755.289,1512.35,0.0216
14.9541,-755.289,1515.54,0.0216
14.9641,-755.289,1518.71,0.0216
14.9741,-755.288,1521.85,0.0218
14.9841,-755.288,1524.96,0.0218
14.9941,-755.288,1528.13,0.0218
15.0041,-755.288,1531.29,0.0218
15.0141,-755.288,1534.45,0.022
15.0241,-755.288,1537.61,0.022
15.0341,-755.287,1540.77,0.022
15.0441,-755.287,1543.91,0.02201
15.0541,-755.287,1547.06,0.0222
15.0641,-755.287,1550.18,0.0222
15.0741,-755.287,1553.35,0.0222
15.0841,-755.287,1556.49,0.0222
15.0941,-755.286,1559.61,0.0222
15.1041,-755.286,1562.71,0.0222
15.1141,-755.286,1565.79,0.0224
15.1241,-755.286,1568.89,0.0224
15.1341,-755.286,1571.98,0.0224
15.1441,-755.286,1575.04,0.0226
15.1541,-755.285,1578.09,0.0226
15.1641,-755.285,1581.16,0.0226
15.1741,-755.285,1584.17,0.0226
15.1841,-755.285,1587.21,0.0226
15.1941,-755.285,1590.2,0.0226
15.2041,-755.285,1593.22,0.0228
15.2141,-755.284,1596.24,0.0228
15.2241,-755.284,1599.23,0.0228
15.2341,-755.284,1602.2,0.0228
15.2441,-755.284,1605.2,0.023
15.2541,-755.284,1608.18,0.023
15.2641,-755.284,1611.13,0.023
15.2741,-755.283,1614.1,0.02319
15.2841,-755.283,1617.09,0.0232
15.2941,-755.283,1620.08,0.0232
15.3041,-755.283,1622.99,0.0232
15.3141,-755.283,1625.94,0.0232
15.3241,-755.283,1628.95,0.0232
15.3341,-755.282,1631.92,0.0234
15.3441,-755.282,1634.84,0.0234
15.3541,-755.282,1637.79,0.0234
15.3641,-755.282,1640.74,0.0234
15.3741,-755.282,1643.67,0.02359
15.3841,-755.282,1646.57,0.0236
15.3941,-755.281,1649.48,0.0236
15.4041,-755.281,1652.45,0.0236
15.4141,-755.281,1655.39,0.02379
15.4241,-755.281,1658.26,0.0238
15.4341,-755.281,1661.14,0.0238
15.4441,-755.281,1664.04,0.0238
15.4541,-755.28,1666.92,0.02399
15.4641,-755.28,1669.77,0.024
15.4741,-755.28,1672.61,0.024
15.4841,-755.28,1675.47,0.024
15.4941,-755.28,1678.31,0.024
15.5041,-755.28,1681.11,0.024
15.5141,-755.279,1683.9,0.02419
15.5241,-755.279,1686.66,0.0242
15.5341,-755.279,1689.44,0.0242
15.5441,-755.279,1692.2,0.0242
15.5541,-755.279,1694.95,0.0242
15.5641,-755.279,1697.71,0.0244
15.5741,-755.278,1700.45,0.0244
15.5841,-755.278,1703.16,0.0244
15.5941,-755.278,1705.84,0.0244
15.6041,-755.278,1708.52,0.0246
15.6141,-755.278,1711.17,0.0246
15.6241,-755.278,1713.8,0.0246
15.6341,-755.277,1716.42,0.0246
15.6441,-755.277,1719.04,0.0246
15.6541,-755.277,1721.6,0.0248
15.6641,-755.277,1724.14,0.0248
15.6741,-755.277,1726.68,0.0248
15.6841,-755.277,1729.19,0.0248
15.6941,-755.276,1731.7,0.0248
15.7041,-755.276,1734.19,0.0248
15.7141,-755.276,1736.69,0.025
15.7241,-755.276,1739.18,0.025
15.7341,-755.276,1741.58,0.025
15.7441,-755.276,1743.96,0.025
15.7541,-755.275,1746.37,0.0252
15.7641,-755.275,1748.77,0.02501
15.7741,-755.275,1751.13,0.0252
15.7841,-755.275,1753.5,0.0252
15.7941,-755.275,1755.86,0.0252
15.8041,-755.275,1758.21,0.0252
15.8141,-755.274,1760.55,0.0252
15.8241,-755.274,1762.89,0.0254
15.8341,-755.274,1765.27,0.0252
15.8441,-755.274,1767.62,0.0254
15.8541,-755.274,1769.95,0.0254
15.8641,-755.274,1772.28,0.0254
15.8741,-755.273,1774.63,0.0254
15.8841,-755.273,1776.94,0.02559
15.8941,-755.273,1779.28,0.02541
15.9041,-755.273,1781.59,0.0254
15.9141,-755.273,1783.89,0.0256
15.9241,-755.273,1786.18,0.0256
15.9341,-755.272,1788.45,0.0256
15.9441,-755.272,1790.74,0.0256
15.9541,-755.272,1793.05,0.0256
15.9641,-755.272,1795.33,0.0256
15.9741,-755.272,1797.6,0.0256
15.9841,-755.272,1799.89,0.0258
15.9941,-755.271,1802.14,0.0258
16.0041,-755.271,1804.4,0.0258
16.0141,-755.271,1806.65,0.0258
16.0241,-755.271,1808.89,0.026
16.0341,-755.271,1811.15,0.0258
